Date,BND,VTI
2010-01-04,49.132347106933594,43.220069885253906
2010-01-05,49.27595901489258,43.3859748840332
2010-01-06,49.25722122192383,43.44632339477539
2010-01-07,49.2197380065918,43.627296447753906
2010-01-08,49.269718170166016,43.77059555053711
2010-01-11,49.28843307495117,43.8309211730957
2010-01-12,49.47575759887695,43.37843704223633
2010-01-13,49.363365173339844,43.785667419433594
2010-01-14,49.48201370239258,43.86107635498047
2010-01-15,49.51323318481445,43.36335754394531
2010-01-19,49.488250732421875,43.936500549316406
2010-01-20,49.6069450378418,43.529273986816406
2010-01-21,49.66312026977539,42.72987747192383
2010-01-22,49.64437484741211,41.78718948364258
2010-01-25,49.5756721496582,41.968177795410156
2010-01-26,49.69435119628906,41.77964401245117
2010-01-27,49.625640869140625,41.98326873779297
2010-01-28,49.64437484741211,41.485530853271484
2010-01-29,49.70679473876953,40.99534225463867
2010-02-01,49.67428207397461,41.621273040771484
2010-02-02,49.7055778503418,42.15671920776367
2010-02-03,49.67428207397461,41.945556640625
2010-02-04,49.76820755004883,40.64088821411133
2010-02-05,49.84965515136719,40.70876693725586
2010-02-08,49.855892181396484,40.39202117919922
2010-02-09,49.7557258605957,40.927452087402344
2010-02-10,49.642906188964844,40.867130279541016
2010-02-11,49.56150817871094,41.304534912109375
2010-02-12,49.63039779663086,41.304534912109375
2010-02-16,49.693031311035156,41.998355865478516
2010-02-17,49.58027648925781,42.23212814331055
2010-02-18,49.51134490966797,42.473472595214844
2010-02-19,49.51134490966797,42.6242790222168
2010-02-22,49.49258804321289,42.556419372558594
2010-02-23,49.68049621582031,42.04359817504883
2010-02-24,49.74314880371094,42.420658111572266
2010-02-25,49.81206512451172,42.40558624267578
2010-02-26,49.86846923828125,42.40558624267578
2010-03-01,49.921234130859375,42.91086959838867
2010-03-02,49.958900451660156,43.046630859375
2010-03-03,49.9651985168457,43.09939956665039
2010-03-04,50.00288009643555,43.2125244140625
2010-03-05,49.9275016784668,43.8987922668457
2010-03-08,49.84581756591797,43.90633773803711
2010-03-09,49.877220153808594,43.9968376159668
2010-03-10,49.83954620361328,44.230621337890625
2010-03-11,49.833274841308594,44.39651870727539
2010-03-12,49.85211944580078,44.39651870727539
2010-03-15,49.921234130859375,44.381431579589844
2010-03-16,50.00916290283203,44.74344253540039
2010-03-17,50.021724700927734,45.030029296875
2010-03-18,49.933780670166016,44.97721481323242
2010-03-19,49.97145462036133,44.68310546875
2010-03-22,50.021724700927734,44.99985122680664
2010-03-23,50.021724700927734,45.31658935546875
2010-03-24,49.770408630371094,45.052642822265625
2010-03-25,49.61335754394531,44.97389602661133
2010-03-26,49.7202033996582,44.96632385253906
2010-03-29,49.61335754394531,45.231327056884766
2010-03-30,49.7138671875,45.2540283203125
2010-03-31,49.757896423339844,45.117740631103516
2010-04-01,49.74211502075195,45.44330978393555
2010-04-05,49.45219039916992,45.88245391845703
2010-04-06,49.49003601074219,46.01118469238281
2010-04-07,49.679073333740234,45.768890380859375
2010-04-08,49.65388107299805,45.87488555908203
2010-04-09,49.74842071533203,46.18531036376953
2010-04-12,49.798805236816406,46.29130935668945
2010-04-13,49.8996467590332,46.33673858642578
2010-04-14,49.86186218261719,46.904598236083984
2010-04-15,49.93747329711914,46.96516036987305
2010-04-16,50.04459762573242,46.23073959350586
2010-04-19,49.98157501220703,46.351890563964844
2010-04-20,50.0319938659668,46.791019439697266
2010-04-21,50.069820404052734,46.753150939941406
2010-04-22,50.03831481933594,46.98031997680664
2010-04-23,50.000492095947266,47.298309326171875
2010-04-26,49.97531509399414,47.13172912597656
2010-04-27,50.15803146362305,45.99602508544922
2010-04-28,50.12652587890625,46.29889678955078
