Date,BND,VT
2013-01-02,57.815673828125,37.887447357177734
2013-01-03,57.64344024658203,37.67737579345703
2013-01-04,57.73297119140625,37.8574333190918
2013-01-07,57.69168472290039,37.662376403808594
2013-01-08,57.74678039550781,37.51981735229492
2013-01-09,57.726131439208984,37.68489074707031
2013-01-10,57.726131439208984,38.0825080871582
2013-01-11,57.7674674987793,38.06000900268555
2013-01-14,57.7674674987793,38.0825080871582
2013-01-15,57.84326171875,38.044986724853516
2013-01-16,57.836395263671875,37.969966888427734
2013-01-17,57.7398796081543,38.21753692626953
2013-01-18,57.829471588134766,38.25506591796875
2013-01-22,57.77432632446289,38.405113220214844
2013-01-23,57.8639030456543,38.37509536743164
2013-01-24,57.78125762939453,38.45011520385742
2013-01-25,57.59516143798828,38.66018295288086
2013-01-28,57.52629089355469,38.51013946533203
2013-01-29,57.4642448425293,38.72020721435547
2013-01-30,57.40222930908203,38.667701721191406
2013-01-31,57.50559616088867,38.56266784667969
2013-02-01,57.34404373168945,38.92277908325195
2013-02-04,57.54429626464844,38.37509536743164
2013-02-05,57.44759750366211,38.63768005371094
2013-02-06,57.585693359375,38.67519760131836
2013-02-07,57.59260559082031,38.47264099121094
2013-02-08,57.57878494262695,38.70521926879883
2013-02-11,57.50975036621094,38.65269088745117
2013-02-12,57.52353286743164,38.77273178100586
2013-02-13,57.44759750366211,38.84775161743164
2013-02-14,57.53047180175781,38.78773498535156
2013-02-15,57.48214340209961,38.69020462036133
2013-02-19,57.461429595947266,39.0278205871582
2013-02-20,57.502838134765625,38.58515930175781
2013-02-21,57.55807113647461,38.18755340576172
2013-02-22,57.585693359375,38.577659606933594
2013-02-25,57.77214431762695,37.8574333190918
2013-02-26,57.7996711730957,38.09749221801758
2013-02-27,57.78590774536133,38.51763916015625
2013-02-28,57.81355285644531,38.44263458251953
2013-03-01,57.84538269042969,38.540164947509766
2013-03-04,57.8315544128418,38.630184173583984
2013-03-05,57.79694366455078,38.99031066894531
2013-03-06,57.70011520385742,39.05031967163086
2013-03-07,57.61708450317383,39.19286346435547
2013-03-08,57.45799255371094,39.35041809082031
2013-03-11,57.4303092956543,39.462955474853516
2013-03-12,57.540992736816406,39.26039505004883
2013-03-13,57.47178268432617,39.237892150878906
2013-03-14,57.4925651550293,39.515472412109375
2013-03-15,57.56170654296875,39.4029541015625
2013-03-18,57.672420501708984,39.14784622192383
2013-03-19,57.70700454711914,38.87777328491211
2013-03-20,57.651702880859375,39.215370178222656
2013-03-21,57.66551208496094,38.90778350830078
2013-03-22,57.72084045410156,39.1741943359375
2013-03-25,57.713924407958984,38.94088363647461
2013-03-26,57.73466873168945,39.234413146972656
2013-03-27,57.85227966308594,39.18926239013672
2013-03-28,57.85916519165039,39.34732437133789
