Date,SPY,TLT
2013-01-02,116.60929107666016,83.536376953125
2013-01-03,116.34587860107422,82.40454864501953
2013-01-04,116.8567886352539,82.72594451904297
2013-01-07,116.5374526977539,82.76081085205078
2013-01-08,116.2021255493164,83.30584716796875
2013-01-09,116.49755096435547,83.22896575927734
2013-01-10,117.42362213134766,82.9983901977539
2013-01-11,117.4156494140625,83.73898315429688
2013-01-14,117.33583068847656,83.50845336914062
2013-01-15,117.4156494140625,83.8927230834961
2013-01-16,117.39968872070312,84.06742858886719
2013-01-17,118.15814971923828,83.22896575927734
2013-01-18,118.42163848876953,83.87179565429688
2013-01-22,119.06031036376953,84.03252410888672
2013-01-23,119.25189971923828,83.90670776367188
2013-01-24,119.28384399414062,83.61327362060547
2013-01-25,119.95445251464844,82.46731567382812
2013-01-28,119.81077575683594,82.16695404052734
2013-01-29,120.28175354003906,81.71277618408203
2013-01-30,119.81077575683594,81.57304382324219
2013-01-31,119.5154037475586,81.9713363647461
2013-02-01,120.74485778808594,80.90694427490234
2013-02-04,119.38764953613281,81.94329833984375
2013-02-05,120.59317779541016,81.21497344970703
2013-02-06,120.68094635009766,81.8802490234375
2013-02-07,120.52131652832031,81.69821166992188
2013-02-08,121.19190979003906,82.01333618164062
2013-02-11,121.16799926757812,81.95024871826172
2013-02-12,121.3675765991211,81.74722290039062
2013-02-13,121.47135162353516,81.08199310302734
2013-02-14,121.58314514160156,81.81727600097656
2013-02-15,121.43939208984375,81.5792236328125
2013-02-19,122.34959411621094,81.17304229736328
2013-02-20,120.82469940185547,81.41812133789062
2013-02-21,120.0901870727539,81.894287109375
2013-02-22,121.26375579833984,81.95024871826172
2013-02-25,118.95650482177734,83.56090545654297
2013-02-26,119.77085876464844,83.07771301269531
2013-02-27,121.27975463867188,82.83262634277344
2013-02-28,121.04021453857422,82.98664855957031
2013-03-01,121.43939208984375,83.43862915039062
2013-03-04,122.08612060546875,82.99644470214844
2013-03-05,123.17984771728516,82.75788116455078
2013-03-06,123.34751892089844,82.00700378417969
2013-03-07,123.57102966308594,81.3753890991211
2013-03-08,124.0980224609375,80.52627563476562
2013-03-11,124.56905364990234,80.60350036621094
2013-03-12,124.28958129882812,81.18594360351562
2013-03-13,124.46526336669922,81.10175323486328
2013-03-14,125.12789154052734,80.85615539550781
2013-03-15,124.96268463134766,81.235107421875
2013-03-18,124.2730484008789,81.85259246826172
2013-03-19,123.98432159423828,82.40702056884766
2013-03-20,124.8504409790039,81.48774719238281
2013-03-21,123.78382110595703,82.27372741699219
2013-03-22,124.77820587158203,82.33683013916016
2013-03-25,124.25700378417969,82.25962829589844
2013-03-26,125.25140380859375,82.3578872680664
2013-03-27,125.25140380859375,83.05966186523438
2013-03-28,125.6363296508789,82.63859558105469
2013-04-01,125.13906860351562,83.2609634399414
2013-04-02,125.75653076171875,82.92344665527344
2013-04-03,124.4814682006836,83.66890716552734
2013-04-04,124.9867935180664,84.66759490966797
2013-04-05,124.42539978027344,86.37657165527344
2013-04-08,125.26738739013672,85.71542358398438
2013-04-09,125.70045471191406,85.50446319580078
2013-04-10,127.24009704589844,84.32998657226562
2013-04-11,127.65709686279297,84.49175262451172
2013-04-12,127.34435272216797,85.75061798095703
2013-04-15,124.39336395263672,86.49609375
2013-04-16,126.22970581054688,85.78577423095703
2013-04-17,124.3852767944336,86.35542297363281
2013-04-18,123.6074447631836,86.56636047363281
2013-04-19,124.68199920654297,86.3835678100586
2013-04-22,125.23527526855469,86.44685363769531
2013-04-23,126.52638244628906,86.14445495605469
2013-04-24,126.60657501220703,86.36244201660156
2013-04-25,127.11986541748047,85.98970031738281
2013-04-26,126.89524841308594,86.77740478515625
2013-04-29,127.74528503417969,86.4609375
2013-04-30,128.05006408691406,86.5101547241211
2013-05-01,126.92737579345703,87.39891052246094
2013-05-02,128.10618591308594,87.28609466552734
2013-05-03,129.40528869628906,85.22814178466797
2013-05-06,129.73410034179688,85.0167007446289
2013-05-07,130.39169311523438,84.68549346923828
2013-05-08,130.9850311279297,84.81941223144531
2013-05-09,130.61619567871094,84.6009292602539
2013-05-10,131.04119873046875,83.6917724609375
2013-05-13,131.1454620361328,83.05043029785156
2013-05-14,132.50074768066406,82.14830780029297
2013-05-15,133.21441650390625,82.69805145263672
2013-05-16,132.58885192871094,83.55785369873047
2013-05-17,133.8720245361328,82.50067138671875
2013-05-20,133.86390686035156,82.40200805664062
2013-05-21,134.05636596679688,83.05043029785156
2013-05-22,133.06204223632812,81.81707763671875
2013-05-23,132.67710876464844,82.20464324951172
2013-05-24,132.56488037109375,82.31743621826172
2013-05-28,133.3587646484375,80.23131561279297
2013-05-29,132.4926300048828,81.13341522216797
2013-05-30,132.98190307617188,80.93608856201172
2013-05-31,131.07327270507812,80.66120147705078
2013-06-03,131.7950439453125,81.0886459350586
2013-06-04,131.16152954101562,80.33978271484375
2013-06-05,129.32510375976562,81.44895935058594
2013-06-06,130.49588012695312,81.3995132446289
2013-06-07,132.15585327148438,79.94422149658203
2013-06-10,132.15585327148438,79.56265258789062
2013-06-11,130.79257202148438,80.50935363769531
2013-06-12,129.7100830078125,79.35780334472656
2013-06-13,131.68276977539062,80.60121154785156
2013-06-14,130.85671997070312,80.41045379638672
2013-06-17,131.86720275878906,79.98656463623047
2013-06-18,132.90969848632812,80.0289306640625
2013-06-19,131.07327270507812,79.20240783691406
2013-06-20,127.8255386352539,77.90247344970703
2013-06-21,128.23583984375,76.58139038085938
2013-06-24,126.6154556274414,76.89927673339844
2013-06-25,127.83277893066406,76.21403503417969
2013-06-26,129.09840393066406,76.70850372314453
2013-06-27,129.8562469482422,77.49268341064453
2013-06-28,129.32418823242188,78.02262878417969
2013-07-01,130.0819091796875,78.17975616455078
2013-07-02,129.96102905273438,78.13021087646484
